Itr,NumTrajs,PolicyExecTime,StdReturn,AverageDiscountedReturn,Average greedy latency,EnvExecTime,Average latency,MaxReturn,Average reward,MinReturn,AverageReturn
130,10000,1.5052504539489746,1.5742490142272738,-6.191583306950353,820.2947145362854,0.9110100269317627,859.6270496527726,-2.54897028147468,-5.994636239293024,-12.523760101560502,-6.695372898310921
131,10000,1.5037212371826172,1.4866649900555786,-5.644452602744707,804.969294427027,0.9022104740142822,827.676008446421,-2.393746595847173,-5.727247775812083,-12.977803114557958,-6.106061758647114
132,10000,1.5076663494110107,1.7978887542817195,-6.141827031135797,830.5383229689326,0.9200348854064941,943.2892189772416,-2.375550316369118,-6.504506610356899,-12.204427346309322,-6.638162744376202
133,10000,1.5021610260009766,1.8133948034516416,-6.096516934938643,822.40952053333,0.9252834320068359,962.6459819810785,-2.2313652951193523,-6.594823929023204,-12.7140730685695,-6.59593065777334
134,10000,1.503190517425537,1.80541134884994,-6.6289462824638425,843.0093625591551,0.9467542171478271,1016.9697796454701,-2.3135037391116855,-7.081813771909884,-12.226333352798262,-7.169513153799504
135,10000,1.492471694946289,1.8378770702046212,-6.352283110902852,824.8389113756724,0.929621696472168,1054.466929010999,-2.371963563420806,-7.328648088900218,-12.2669447868409,-6.873096799542692
136,10000,1.5104622840881348,1.7488348572805863,-6.5943389675110025,830.465708871528,0.9334051609039307,1009.1753428920746,-2.2969779188738615,-6.99241327939083,-12.90807413896155,-7.127999010728606
137,10000,1.5298190116882324,1.926102232449053,-6.163726664760031,832.908949241679,0.9280271530151367,935.4013733065606,-2.2190839260748874,-6.419981019166245,-12.27343753330458,-6.662615895408266
138,10000,1.4934537410736084,1.8161379320768163,-6.2845972048708445,833.1542656848226,0.9172585010528564,884.4057530766949,-2.4920260345728944,-6.143938669922909,-12.958015362530276,-6.790626134513598
139,10000,1.5138328075408936,1.4329031839786817,-5.607177906979098,793.4135866272927,0.9123632907867432,905.1676166556495,-2.4057767744287624,-6.327125347327451,-11.727026170217584,-6.0702428100303
140,10000,1.5180785655975342,1.5540734698669894,-5.861235136403918,809.2997793573516,0.9147419929504395,894.7207556619454,-2.4151652996923665,-6.213999524562315,-11.998586232767272,-6.340059481042746
141,10000,1.523998498916626,1.5940830861928441,-6.278473798195999,825.4996705335209,0.9071297645568848,918.1279297609248,-2.5860942696910247,-6.340852232883914,-12.207843394046941,-6.786730024893766
142,10000,1.5090913772583008,1.498982458661352,-5.468487139307775,807.6128185018675,0.9034502506256104,853.9439553811945,-2.4521228535791044,-5.875783920117705,-11.422441521076822,-5.919095633427581
